Categoría	Título	Empresa	Ubicación	Contrato	Salario	Experiencia	Fecha publicación	Habilidades	Descripción	Enlace
big-data	Programador/a Junior SAS y/o R	Quental	Remoto	Remoto	21.000 €	N/D	06/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo programador/a junior sas y/o r en Quental - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato regis	https://www.tecnoempleo.com/programador-junior-sas-y-o-r-quental/sas/rf-7b9d1a6852e373ebe245
big-data	BECA - Analista de datos	Bnp Paribas	Madrid	Híbrido	N/D	Sin experiencia	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo becaanalista de datos en Hibrido BNP Paribas - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato re	https://www.tecnoempleo.com/beca-analista-datos-bnp-paribas/python-sql/rf-75b71a754259e3b4a546
big-data	Senior Data Scientist	Wallapop	Barcelona	Híbrido	2k	N/D	07/11/2025	ai, airflow, aws, azure, big data, docker, git, java, kubernetes, linux, ml, pandas, power bi, python, r, scikit, spark, sql, tensorflow	Oferta de Empleo senior data scientist en Hibrido Wallapop - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato regis	https://www.tecnoempleo.com/senior-data-scientist-wallapop/etl-python/rf-987d13d832d0b3228e4c
big-data	IT Project Manager	Santander	Madrid	Híbrido	N/D	N/D	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo it project manager en Madrid Santander - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registra	https://www.tecnoempleo.com/it-project-manager-santander/project-manager/rf-267e179d72b0c3f49040
big-data	Data Analyst	Page Personnel	N/D	Indefinido	30.000 €	N/D	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data analyst en Málaga Page Personnel - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrad	https://www.tecnoempleo.com/data-analyst-page-personnel/sql-python/rf-c09e132fc2de63ffdf4a
big-data	Project Manager - Data Analytics	Baoss	Madrid	Indefinido	N/D	N/D	06/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo project managerdata analytics en Madrid Baoss - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato r	https://www.tecnoempleo.com/project-manager-data-analytics-baoss/project-manager/rf-d55e1daf426b93c62b4f
big-data	Data Engineer WebFOCUS	Cas Training	Madrid	Remoto	30.000 €	4 años	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data engineer webfocus en  Remoto CAS TRAINING - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato 	https://www.tecnoempleo.com/data-engineer-webfocus-cas-training/etl-oracle/rf-c6aa10f9f267f3081147
big-data	Data Scientist / Data Analyst	N/D	Madrid	Híbrido	36.000 €	2 años	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, scikit, spark, sql, tensorflow	Oferta de Empleo data scientist / data analyst en Hibrido CAS TRAINING Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrado 	https://www.tecnoempleo.com/data-scientist-data-analyst-cas-training/python-scikit-learn/rf-ca191deae24c337fb643
big-data	Data Analyst - SCIB	Santander	Madrid	Indefinido	N/D	N/D	07/11/2025	ai, aws, azure, big data, docker, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo data analystscib en Madrid Santander - Tecnoempleo.com Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registrado	https://www.tecnoempleo.com/data-analyst-scib-santander/data/rf-a2e01131f2aab3fca34e
big-data	Programmer analyst TALEND	N/D	Sevilla	Remoto	31.000 €	N/D	06/11/2025	ai, aws, azure, big data, docker, gcp, git, java, kubernetes, linux, ml, power bi, python, r, spark, sql	Oferta de Empleo programmer analyst talend en Krell Consulting & Training Búsquedas TOP: Empleo público Amazon Web Services Buscar sueldos Buscar Empleo IT Publicar Ofertas Acceso Empresas Acceso Candidatos Regístrate gratis Acceso Candidato registra	https://www.tecnoempleo.com/programmer-analyst-talend-krell-consulting-trainin/etl-scrum/rf-18d01244524b63cd204f
